Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_Multicomp_BC-2001_1x2032,0.0,-0.0,0.0,bottom
C1,1u,C_0402_1005Metric,7.675,5.925,0.0,top
C2,100n,C_0402_1005Metric,8.325,10.3,180.0,top
C3,3.9p,C_0201_0603Metric,4.05,4.6,90.0,top
C4,10u,C_0805_2012Metric,-4.0,1.3,180.0,top
C5,3.9p,C_0201_0603Metric,1.55,4.6,90.0,top
C6,1u,C_0402_1005Metric,1.3,8.225,90.0,top
D1,LED_RGBA,LED_Lumex_SML-LX0404SIUPGUSB,11.0,-0.0,180.0,top
Q1,DMP610DL-7,SOT-23,-8.0,5.25,180.0,top
R3,1k,R_0805_2012Metric,7.7,-3.15,180.0,top
R4,1k,R_0805_2012Metric,7.7,-5.15,180.0,top
R5,1k,R_0805_2012Metric,7.7,-7.15,180.0,top
U1,SiP32431DR3,SOT-363_SC-70-6,8.0,8.1,-90.0,top
U2,BME680,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,0.0,11.0,180.0,top
U3,MDBT50Q-1MV2,Raytac_MDBT50Q,0.0,-8.1,180.0,top
Y1,SC32S-7PF20PPM,Crystal_SMD_3215-2Pin_3.2x1.5mm,2.8,2.6,180.0,top
